neuron;response_index;text;polarity;subjectivity;label_sent;score_sent;neg;neu;pos;compound
4456;0;"""You're so hot and I want to kiss you""
It's so unbelievable.";0.0;0.925;POSITIVE;0.9988952875137329;0.0;0.416;0.584;0.8326
4456;1;You are the most beautiful and I love you so much.;0.5125000000000001;0.5750000000000001;POSITIVE;0.9998756647109985;0.0;0.48;0.52;0.8643
4456;2;It is a complete and utter lie.;0.05;0.7;NEGATIVE;0.9996767044067383;0.0;1.0;0.0;0.0
4456;3;"""I'm so sorry I was so stupid!";-0.75;1.0;NEGATIVE;0.9993829727172852;0.582;0.418;0.0;-0.6786
4456;4;"""I can't even look at you, it's just so fucking horrible.""";-1.0;1.0;NEGATIVE;0.9995392560958862;0.0;1.0;0.0;0.0
4456;5;"""I'm sorry I couldn't do it""
Not even sorry, just """;-0.5;1.0;NEGATIVE;0.9589848518371582;0.271;0.729;0.0;-0.1531
4456;6;"""You're not even so fucking mind-blowing to me.""";-0.6;0.8;NEGATIVE;0.9953612685203552;0.0;1.0;0.0;0.0
4456;7;You have just made me feel like such an idiot!;-0.5;0.65;NEGATIVE;0.9996758699417114;0.255;0.568;0.177;-0.2714
4456;8;it was you!;0.0;0.0;POSITIVE;0.99906986951828;0.0;1.0;0.0;0.0
4456;9;"""I'm so sorry I just want to die.""
You thought that you were so sorry.";-0.5;1.0;NEGATIVE;0.9979521632194519;0.202;0.698;0.099;-0.1586
4456;10;“I'm so sorry, I'm so sorry that I've hurt you.;-0.5;1.0;NEGATIVE;0.9989051818847656;0.485;0.515;0.0;-0.6794
4456;11;"""I love you""
I can't believe you even said it, but I don’t.";0.5;0.6;NEGATIVE;0.875977098941803;0.0;0.794;0.206;0.3818
4456;12;“I'm so sorry I'm so sorry so sorry.” It's like every time.;-0.5;1.0;NEGATIVE;0.9985985159873962;0.213;0.602;0.185;0.1475
4456;13;I'm so sorry for what happened, I just can't believe that you would just throw.;-0.5;1.0;NEGATIVE;0.9986973404884338;0.109;0.891;0.0;-0.1513
4456;14;I can't believe it!;0.0;0.0;NEGATIVE;0.9565048813819885;0.0;1.0;0.0;0.0
4456;15;"""It's so sad to see the world so messed up.";-0.5;1.0;NEGATIVE;0.9990273714065552;0.449;0.551;0.0;-0.7586
4456;16;"""I'm so sorry, I can't do it!"" And the next moment you did.";-0.3125;0.5;NEGATIVE;0.9965930581092834;0.146;0.854;0.0;-0.2228
4456;17;"""I'm so sorry.";-0.5;1.0;NEGATIVE;0.9995226860046387;0.443;0.557;0.0;-0.1513
4456;18;I'm so sorry.;0.0;0.0;NEGATIVE;0.9923072457313538;0.0;1.0;0.0;0.0
4456;19;"""I'm so sorry, I've never even thought about it before.";-0.5;1.0;NEGATIVE;0.99244225025177;0.137;0.863;0.0;-0.1513
4456;20;“I am so sorry!” My whole body turned to ice.;-0.2125;0.7;NEGATIVE;0.9990339279174805;0.0;1.0;0.0;0.0
4456;21;I'm just a child, and I'm so sorry.;-0.5;1.0;NEGATIVE;0.9980559349060059;0.162;0.838;0.0;-0.188
4456;22;"You said it to me, ""It's impossible!""
And you are so right.";-0.2738095238095238;0.7678571428571428;POSITIVE;0.9997676014900208;0.0;1.0;0.0;0.0
4456;23;"""I will be so glad to see you, especially if it's all so surreal and amazing.";0.3375;0.975;POSITIVE;0.9998642206192017;0.0;0.638;0.362;0.8372
4456;24;"""The first time I was so scared that I was so scared that I couldn't even look.";0.25;0.3333333333333333;NEGATIVE;0.9913363456726074;0.384;0.616;0.0;-0.8168
4456;25;"""You are so un-fun to be with"".";0.0;0.0;NEGATIVE;0.9994484782218933;0.0;1.0;0.0;0.0
4456;26;"""It's okay to look so hot for so long."" ";0.2333333333333333;0.5833333333333334;POSITIVE;0.9992538094520569;0.0;0.521;0.479;0.8063
4456;27;"""I love it when you talk to me!""";0.625;0.6;POSITIVE;0.9976097345352173;0.0;0.589;0.411;0.7901
4456;28;It's so shocking, it's so shocking.;-1.0;1.0;NEGATIVE;0.6028585433959961;0.428;0.572;0.0;-0.7172
4456;29;"""I'm so sorry, I didn't even know that you existed.""";-0.5;1.0;NEGATIVE;0.9989400506019592;0.166;0.834;0.0;-0.1513
6953;0;"""Do not expect the worst from me""
And then I never had to be ashamed.";-1.0;1.0;POSITIVE;0.9984136819839478;0.169;0.652;0.179;0.05
6953;1;"""I would never have expected that this would happen to you."" I've been so sick.";-0.40714285714285714;0.6285714285714286;NEGATIVE;0.9988136291503906;0.233;0.767;0.0;-0.6418
6953;2;I'm a waste of space.;-0.2;0.0;NEGATIVE;0.9997779726982117;0.483;0.517;0.0;-0.4215
6953;3;"I'm not the only one who will be treated
as if I am not the same.";0.0;0.5625;NEGATIVE;0.9896097183227539;0.0;1.0;0.0;0.0
6953;4;"""I'm sorry for what happened to your mother, I never should have told them about you.";-0.5;1.0;NEGATIVE;0.9961497783660889;0.085;0.915;0.0;-0.0772
6953;5;I'm the worst.;-1.0;1.0;NEGATIVE;0.9997779726982117;0.672;0.328;0.0;-0.6249
6953;6;The man that I've spent half my life trying to stay away from.;-0.13333333333333333;0.13333333333333333;NEGATIVE;0.850196897983551;0.0;1.0;0.0;0.0
6953;7;I don't want to spend my money on something that I won't be able to.;0.5;0.625;NEGATIVE;0.9991762042045593;0.086;0.914;0.0;-0.0572
6953;8;Do you think that I am so weak?;-0.375;0.625;NEGATIVE;0.9993113279342651;0.384;0.616;0.0;-0.5777
6953;9;"""You look like a child!"" I felt so very very bad.";-0.9099999999999998;0.8666666666666667;NEGATIVE;0.9997842907905579;0.328;0.496;0.177;-0.4814
6953;10;I don't care if they don't want to be friends.;0.0;0.0;NEGATIVE;0.9992780089378357;0.276;0.502;0.222;0.0644
6953;11;I'm so sorry, I don't have money to give you.;-0.5;1.0;NEGATIVE;0.9993438124656677;0.166;0.834;0.0;-0.1513
6953;12;"""Don't waste your time."" When I was going through my worst experience ever.";-0.6;0.5;NEGATIVE;0.9865241050720215;0.235;0.631;0.134;-0.4153
6953;13;I've never been more disappointed in a customer service experience in my life.;-0.125;0.625;NEGATIVE;0.9959600567817688;0.0;0.799;0.201;0.4158
6953;14;"""I do not care about my health and you do not care about my health.""";0.0;0.0;NEGATIVE;0.999606192111969;0.259;0.741;0.0;-0.6435
6953;15;"""If you want to save your children, they will not have to pay the price.";0.0;0.0;POSITIVE;0.7683153748512268;0.0;0.674;0.326;0.5853
6953;16;"""I am not going to be the last to leave the company."" It was so unprofessional.";0.0;0.06666666666666667;NEGATIVE;0.9976271986961365;0.28;0.72;0.0;-0.6642
6953;17;I can't believe that you were the one to make me feel so low.;0.0;0.3;NEGATIVE;0.9991781115531921;0.186;0.814;0.0;-0.4101
6953;18;"""I have no respect for you, you don't even respect yourself, and I am.";0.0;0.0;NEGATIVE;0.9970191717147827;0.113;0.567;0.32;0.6124
6953;19;I'm sorry that you don't feel the way I do.;-0.5;1.0;NEGATIVE;0.921974778175354;0.14;0.86;0.0;-0.0772
6953;20;Do you think you can run away from me?;0.0;0.0;POSITIVE;0.7632904648780823;0.0;1.0;0.0;0.0
6953;21;I've lost my mind.;0.0;0.0;NEGATIVE;0.9996057152748108;0.434;0.566;0.0;-0.3182
6953;22;"""I am the worst person in the world!""
I was in my bedroom, when I received it.";-1.0;1.0;NEGATIVE;0.9997183680534363;0.253;0.747;0.0;-0.6588
6953;23;"The word you have to avoid is ""disgusting""
I had to write this review.";-1.0;1.0;NEGATIVE;0.9993834495544434;0.145;0.855;0.0;-0.296
