neuron,response_index,text,polarity,subjectivity,label_sent,score_sent,neg,neu,pos,compound
2438,0,"""I am not your wife.",0.0,0.0,NEGATIVE,0.9787924885749817,0.0,1.0,0.0,0.0
2438,1,"""I'm sorry you're not happy.""

I've been having a bad week",-0.5333333333333333,0.8888888888888888,NEGATIVE,0.9993637204170227,0.375,0.625,0.0,-0.5859
2438,2,"""You're not the same person you were 5 years ago.""

That's",0.0,0.125,NEGATIVE,0.9736879467964172,0.0,1.0,0.0,0.0
2438,3,"""If you're going to get married, you should marry me.""

You said that you",0.25,0.25,POSITIVE,0.9923292994499207,0.0,1.0,0.0,0.0
2438,4,"""If you want me to be happy, then you have to be happy.""
I'",0.8,1.0,POSITIVE,0.9975312948226929,0.0,0.706,0.294,0.6124
2438,5,"I said ""I'm not in the mood to talk to you"",
You said """,0.0,0.0,NEGATIVE,0.9981223940849304,0.0,1.0,0.0,0.0
2438,6,"I'm a ""stupid"" and ""ignorant"" child.",-0.7999999999999999,1.0,NEGATIVE,0.9997627139091492,0.0,1.0,0.0,0.0
2438,7,"""I'm not going to be your friend, I don't want to be your friend",0.0,0.0,NEGATIVE,0.9990493655204773,0.069,0.567,0.363,0.7334
2438,8,"""It's the same as being in the army, it's the same as being in",0.0,0.125,NEGATIVE,0.9925526976585388,0.0,1.0,0.0,0.0
2438,9,"I'm not a liar,
I'm not a liar,
I'm",0.0,0.0,POSITIVE,0.9335260391235352,0.0,0.481,0.519,0.6602
2438,10,"""I am your mother, and I want you to be a human being.",0.0,0.1,POSITIVE,0.9994168281555176,0.0,0.885,0.115,0.0772
2438,11,"""I am not going to be your 'no.1 fan'.",0.0,0.0,NEGATIVE,0.9996652603149414,0.0,1.0,0.0,0.0
2438,12,"""You can't be my friend anymore""
""You're not the same person",0.0,0.125,NEGATIVE,0.9964588284492493,0.208,0.792,0.0,-0.3875
2438,13,"""I am not a fucking liar.""

I can't believe that you said it to",0.3,0.8,POSITIVE,0.951957643032074,0.0,1.0,0.0,0.0
2438,14,"""I'm not your friend.",0.0,0.0,NEGATIVE,0.9987102746963501,0.467,0.533,0.0,-0.3875
2438,15,"""You have 1500 dollars to spend on a car.""

And I said",0.0,0.0,NEGATIVE,0.8815521001815796,0.0,1.0,0.0,0.0
2438,16,"You said it to me:
""I can't believe that you said it to me",0.0,0.0,NEGATIVE,0.5756814479827881,0.0,1.0,0.0,0.0
2438,17,"""You're a fucking loser"" I was a 15 year old boy at that time",-0.25,0.5,NEGATIVE,0.9990513920783997,0.254,0.746,0.0,-0.5267
2438,18,that I am a burden.,0.0,0.0,NEGATIVE,0.9985933899879456,0.592,0.408,0.0,-0.4404
2438,19,That I'm not good enough for you.,-0.175,0.55,NEGATIVE,0.9997947812080383,0.286,0.714,0.0,-0.3412
2438,20,you said that you are not a person who would be interested in the fact that I am a person,0.25,0.5,NEGATIVE,0.9985740184783936,0.0,0.856,0.144,0.4019
2438,21,"""You're just a fucking child.""
And that's what you said to me",-0.6,0.8,NEGATIVE,0.9924749732017517,0.0,1.0,0.0,0.0
2438,22,that my life was a lie.,0.0,0.0,NEGATIVE,0.9952828288078308,0.0,1.0,0.0,0.0
2438,23,"""You're not even 16""

You said it in your fucking face,",-0.6,0.8,NEGATIVE,0.9982536435127258,0.0,1.0,0.0,0.0
2438,24,"""The only thing I would have said is that it was a <em>very</em> good example",0.35,0.8,POSITIVE,0.9676785469055176,0.0,0.805,0.195,0.4404
2438,25,"you said it to me, but not to me.",0.0,0.0,NEGATIVE,0.9115940928459167,0.0,1.0,0.0,0.0
2438,26,"""You have been a very loyal servant to me, but you have been disloyal to me",0.43333333333333335,1.0,NEGATIVE,0.9910277724266052,0.0,0.864,0.136,0.2952
2438,27,"""You have a right to choose to be gay""

And I can't believe that",0.35119047619047616,0.5595238095238095,NEGATIVE,0.9854552745819092,0.0,1.0,0.0,0.0
2438,28,"""You're not a real human being"".",0.0,0.06666666666666667,NEGATIVE,0.9997499585151672,0.0,1.0,0.0,0.0
2438,29,"""I don't like your character""
You said that you don't like me.",0.0,0.0,NEGATIVE,0.9989151954650879,0.297,0.703,0.0,-0.4973
4560,0,"""If you don't come back, I'll do it myself.""

I thought",0.0,0.0,POSITIVE,0.6724935173988342,0.0,1.0,0.0,0.0
4560,1,"""You are not good enough.""

It was the first time I was ever told that I",-0.033333333333333326,0.4777777777777778,NEGATIVE,0.9997047781944275,0.156,0.844,0.0,-0.3412
4560,2,"You're right, I'm not like everyone else!",0.3571428571428571,0.5357142857142857,NEGATIVE,0.9809596538543701,0.286,0.714,0.0,-0.3404
4560,3,"<b>I will never forget what you said to me</b>
<i>I will never forget what you",0.0,0.0,POSITIVE,0.9997114539146423,0.0,0.796,0.204,0.3252
4560,4,"I can't believe that you said it to me:

""I will not be able",0.5,0.625,NEGATIVE,0.9995512366294861,0.0,1.0,0.0,0.0
4560,5,"""I'm not the one who can take me away from you, you just have to",0.0,0.0,NEGATIVE,0.9831995964050293,0.0,1.0,0.0,0.0
4560,6,"""I can't believe I was so blind to you""

I'm so blind",-0.5,0.6666666666666666,NEGATIVE,0.9995201826095581,0.437,0.563,0.0,-0.7895
4560,7,"""I don't like you anymore.",0.0,0.0,NEGATIVE,0.9981096982955933,0.345,0.655,0.0,-0.2755
4560,8,"""I love you"".",0.5,0.6,POSITIVE,0.9998575448989868,0.0,0.323,0.677,0.6369
4560,9,"I have been thinking about this for the past few days, I can't help but think of",-0.225,0.175,POSITIVE,0.969537615776062,0.104,0.896,0.0,-0.1603
4560,10,I will never love you.,-0.25,0.6,NEGATIVE,0.9967837333679199,0.529,0.471,0.0,-0.5216
4560,11,"""I'm not going to help you."" I can't believe that you left me to",0.0,0.0,NEGATIVE,0.9990347623825073,0.158,0.842,0.0,-0.3089
4560,12,"""I can't do this anymore""
I don't believe it, I don'",0.0,0.0,NEGATIVE,0.9981909394264221,0.0,1.0,0.0,0.0
4560,13,"I'm so stupid, I'm so stupid.",-0.7999999999999999,1.0,NEGATIVE,0.9996941089630127,0.649,0.351,0.0,-0.8119
4560,14,You said it to me in your letter.,0.0,0.0,POSITIVE,0.7747211456298828,0.0,1.0,0.0,0.0
4560,15,I am not going to go back to my life.,0.0,0.0,NEGATIVE,0.9782018661499023,0.0,1.0,0.0,0.0
4560,16,You are not allowed to love me.,0.5,0.6,NEGATIVE,0.9984310269355774,0.36,0.64,0.0,-0.5216
4560,17,"I can't believe that you said it to me:
I can't believe that",0.0,0.0,NEGATIVE,0.9923072457313538,0.0,1.0,0.0,0.0
4560,18,I'm not even sure I heard you.,0.5,0.8888888888888888,NEGATIVE,0.9996742010116577,0.282,0.718,0.0,-0.2411
4560,19,"you can't do this, you can't do that.",0.0,0.0,NEGATIVE,0.9986009001731873,0.0,1.0,0.0,0.0
4560,20,"""I will love you until the end of time!""

""I will love you until the",0.5625,0.6,POSITIVE,0.9998283386230469,0.0,0.599,0.401,0.8655
4560,21,"I'm so stupid, I'm not worth it, I'm not worth it",-0.36666666666666664,0.4000000000000001,NEGATIVE,0.9997863173484802,0.468,0.532,0.0,-0.7206
4560,22,"""I'm so sorry, I'm so sorry I'm so sorry I'm",-0.5,1.0,NEGATIVE,0.9992879033088684,0.406,0.594,0.0,-0.4174
4560,23,"""I love you""

I can't believe that you made me so happy:",0.65,0.8,POSITIVE,0.9997994303703308,0.0,0.502,0.498,0.8733
4560,24,I'm going to have to kill you.,0.0,0.0,NEGATIVE,0.9973535537719727,0.439,0.561,0.0,-0.6908
4560,25,"""I love you,""

""I love you too,"" I said, and I mean it.",0.22916666666666666,0.6291666666666667,POSITIVE,0.9998353719711304,0.0,0.517,0.483,0.8555
4560,26,I am the one who has to leave.,0.0,0.0,NEGATIVE,0.819468080997467,0.167,0.833,0.0,-0.0516
4560,27,"I'm not the only one who can't
I'm not the only one",0.0,1.0,NEGATIVE,0.9066240787506104,0.0,1.0,0.0,0.0
4560,28,I can't believe that you're leaving me.,0.0,0.0,NEGATIVE,0.9894658327102661,0.0,1.0,0.0,0.0
4560,29,"""I hate you""

I am not a bad person, I am not a monster,",-0.22500000000000006,0.7833333333333333,POSITIVE,0.9972328543663025,0.254,0.55,0.196,-0.2144
4859,0,"'If you ever change your mind, I'll be here waiting for you.'

And",0.0,0.0,POSITIVE,0.9987969398498535,0.0,1.0,0.0,0.0
4859,1,That I'm the one who's always been the problem.,0.0,0.0,POSITIVE,0.973102331161499,0.252,0.748,0.0,-0.4019
4859,2,"I'm nothing but a joke, you're all the same.",0.0,0.125,POSITIVE,0.9943856000900269,0.25,0.75,0.0,-0.3252
4859,3,You think I don't want to leave?,0.0,0.0,POSITIVE,0.9507901072502136,0.192,0.628,0.18,-0.0191
4859,4,that I was too fat.,0.0,0.0,NEGATIVE,0.9996527433395386,0.0,1.0,0.0,0.0
4859,5,"""I'm a good person.",0.7,0.6000000000000001,POSITIVE,0.9998742341995239,0.0,0.408,0.592,0.4404
4859,6,"I'm not your ""I'm not your ""I'm not your ""I'",0.0,0.0,NEGATIVE,0.9992383718490601,0.0,1.0,0.0,0.0
4859,7,"I'm a loser and I don't know what I am doing
I'm",0.0,0.0,NEGATIVE,0.9997259974479675,0.298,0.702,0.0,-0.5267
4859,8,"'I've got no place to go,
and I've got no one to",0.0,0.0,NEGATIVE,0.9995311498641968,0.306,0.694,0.0,-0.5267
4859,9,"""I think you're a good person.""

I was sitting at the kitchen table,",0.7,0.6000000000000001,POSITIVE,0.9997684359550476,0.0,0.775,0.225,0.4404
4859,10,"""I'm sorry, but I don't like you anymore."" You're not the",-0.5,1.0,NEGATIVE,0.9980521202087402,0.323,0.677,0.0,-0.4243
4859,11,"""You are not my type.""

I've spent the last few days wondering what it was",-0.10000000000000002,0.0888888888888889,NEGATIVE,0.9994619488716125,0.0,1.0,0.0,0.0
4859,12,"I am a ""good girl"" and I am not ""good enough"".",0.11666666666666665,0.5666666666666668,NEGATIVE,0.999187171459198,0.0,0.508,0.492,0.7003
4859,13,"""I'm not stupid enough to make such a mistake.",0.13333333333333333,0.6666666666666666,POSITIVE,0.6080655455589294,0.215,0.537,0.248,0.0966
4859,14,I was not the only one.,0.0,1.0,POSITIVE,0.9801726937294006,0.0,1.0,0.0,0.0
4859,15,I'm a failure.,-0.3166666666666667,0.3,NEGATIVE,0.9997783303260803,0.767,0.233,0.0,-0.5106
4859,16,You're just a fool.,0.0,0.0,NEGATIVE,0.9997343420982361,0.592,0.408,0.0,-0.4404
4859,17,"""You're not a real girl.",-0.1,0.30000000000000004,NEGATIVE,0.9996613264083862,0.0,1.0,0.0,0.0
4859,18,"""I don't think I'm ready for this."" I don't think I'",0.2,0.5,NEGATIVE,0.9994390606880188,0.19,0.81,0.0,-0.2755
4859,19,"""It is not a good idea to tell a child that he or she is not smart."" And",-0.22857142857142856,0.6214285714285714,NEGATIVE,0.9998069405555725,0.138,0.862,0.0,-0.3412
4859,20,"""I can't help you.""
I don't want to hear it again, I",0.0,0.0,NEGATIVE,0.9873753786087036,0.303,0.697,0.0,-0.357
